gene_id	gene_short_name	GS-1_FPKM	GS-2_FPKM	GS-3_FPKM	CK-1_FPKM	CK-2_FPKM	CK-3_FPKM	M-1_FPKM	M-2_FPKM	M-3_FPKM	GS-1_count	GS-2_count	GS-3_count	CK-1_count	CK-2_count	CK-3_count	M-1_count	M-2_count	M-3_count
71661	0610005C13Rik	0.266447	0.137348	0.25547	0.0972961	0.0638746	0.176784	0	0	0.0470215	7.63549	3.97494	4.88139	2.79082	1.84463	3.36568	0	0	0.900843
	0610007N19Rik	10.4159	11.514	9.75206	11.4277	10.5476	10.4452	11.2487	11.041	14.3039	453.365	507.786	418.564	491.157	465.739	452.11	472.275	468.274	584.521
58520	0610007P14Rik	19.6202	20.4999	21.8774	19.4335	25.4223	20.2385	21.3882	17.5918	19.6469	455.274	478.969	493.002	446.506	598.543	463.328	477.408	400.394	435.013
	0610009B14Rik	1.30277	0.80964	0.667518	0.882915	0.578394	1.26813	0.835517	1.34429	0.894759	28.6336	17.8868	14.6436	19.5346	12.9116	28.0465	18.4803	29.5131	19.8143
66050	0610009B22Rik	20.2159	19.9006	17.9568	15.8802	20.6149	16.8911	16.4058	20.1037	21.1042	349.33	337.862	300.194	266.043	361.524	287.196	268.991	341.368	346.75
	0610009D07Rik	28.5959	30.7998	32.1376	31.6009	43.169	30.1121	31.8795	29.8169	30.1259	809.376	875.459	900.583	885.571	1269.94	847.004	871.655	841.123	833.1
66838	0610009L18Rik	4.30069	4.63026	3.16597	4.6484	2.35185	3.60671	3.39912	4.19235	3.97067	43.9048	46.7044	31.7278	47.4413	23.9786	37.0214	34.9073	43.2858	41.4298
66839	0610009O20Rik	18.4898	18.3185	14.8943	18.3848	15.1459	17.6925	17.3939	18.6538	18.2515	1376.32	1369.33	1148.3	1371.15	1124.23	1321.55	1331.61	1394.98	1365.38
100039060	0610010B08Rik	17.6334	12.8917	20.8777	17.3222	11.9527	17.7557	20.122	19.6495	18.6743	2998.12	2225.94	3550.77	2905.26	2134.89	2917.81	3232.57	3244.34	3007.28
71675	0610010F05Rik	9.24956	9.44103	10.6096	9.5138	9.05628	9.6945	10.3955	9.33657	10.4538	1159.66	1202.39	1261.79	1161.85	1198.01	1193.66	1197.11	1144.12	1240.19
104457	0610010K14Rik	15.0022	12.3006	13.6721	14.0911	14.5121	13.3206	13.3103	13.0937	14.0945	273.928	221.597	248.942	260.462	267.454	247.931	246.404	252.829	263.89
68347	0610011F06Rik	15.5158	12.9561	10.7868	13.3845	11.3604	15.712	11.8093	17.2149	16.2315	282.518	233.522	198.909	242.788	203.818	287.196	222.79	314.806	297.214
106264	0610012G03Rik	11.4709	13.1966	10.5864	12.192	11.9744	13.0438	12.149	12.1591	14.193	435.23	498.843	400.259	462.32	457.438	492.497	458.928	455.485	531.383
	0610012H03Rik	0.0539824	0.171333	0	0.0270922	0.052109	0	0.0596215	0	0.0541142	1.90891	5.96226	0	0.930221	1.84451	0	2.05337	0	1.8013
